,2001/12,2002/12,2003/12,2004/12,2005/12,2006/12,2007/12,2008/12,2009/12,2010/12,2011/12,2012/12,2013/12,2014/12,hexID
0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,2.0,4.0,15.0,16.0,15.0,16.0,301
1,325.0,326.0,340.0,349.0,351.0,361.0,365.0,381.0,395.0,401.0,421.0,433.0,437.0,464.0,302
2,363.0,367.0,383.0,378.0,381.0,382.0,392.0,384.0,404.0,401.0,380.0,379.0,384.0,387.0,328
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,25.0,25.0,25.0,329
4,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,162.0,9.0,65.0,88.0,88.0,330
5,167.0,161.0,165.0,174.0,172.0,169.0,165.0,179.0,172.0,164.0,179.0,186.0,212.0,172.0,334
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356
8,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,6.0,7.0,8.0,8.0,357
9,2640.0,2576.0,2568.0,2697.0,2797.0,2838.0,2927.0,3062.0,3515.0,3809.0,4211.0,4366.0,4693.0,4863.0,358
10,52.0,48.0,46.0,40.0,38.0,37.0,39.0,52.0,58.0,88.0,41.0,45.0,69.0,109.0,359
11,,,,,,,,,,,0.0,0.0,0.0,0.0,360
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361
13,26.0,26.0,26.0,30.0,26.0,23.0,29.0,35.0,37.0,35.0,34.0,33.0,37.0,37.0,363
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381
15,48.0,50.0,63.0,85.0,76.0,108.0,200.0,335.0,462.0,618.0,252.0,229.0,185.0,161.0,384
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385
17,136.0,135.0,146.0,156.0,161.0,163.0,169.0,185.0,185.0,190.0,,267.0,356.0,455.0,386
18,7257.0,7225.0,7180.0,7154.0,7155.0,7131.0,7085.0,7140.0,7100.0,7080.0,7082.0,7103.0,7056.0,6989.0,387
19,8408.0,8402.0,8489.0,8520.0,8756.0,9034.0,9126.0,9261.0,9365.0,9418.0,8980.0,9089.0,9183.0,9248.0,388
20,468.0,459.0,461.0,454.0,453.0,462.0,465.0,448.0,459.0,458.0,461.0,460.0,464.0,483.0,389
21,4647.0,4609.0,4586.0,4550.0,4478.0,4454.0,4534.0,4553.0,4426.0,4297.0,4117.0,4074.0,4086.0,4071.0,390
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391
23,435.0,435.0,497.0,546.0,554.0,619.0,648.0,670.0,712.0,778.0,752.0,750.0,716.0,708.0,393
24,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,409
25,64.0,67.0,70.0,73.0,74.0,73.0,71.0,71.0,71.0,70.0,72.0,70.0,72.0,68.0,410
26,2110.0,2086.0,2173.0,2189.0,2320.0,2485.0,2460.0,2506.0,2679.0,2941.0,3201.0,3314.0,3418.0,3455.0,412
27,60.0,66.0,68.0,68.0,82.0,94.0,98.0,96.0,93.0,117.0,239.0,302.0,352.0,381.0,413
28,15201.0,15056.0,15045.0,14997.0,14953.0,15055.0,15012.0,15133.0,15104.0,15051.0,14111.0,14071.0,13963.0,13887.0,414
29,649.0,645.0,679.0,743.0,774.0,817.0,836.0,969.0,1103.0,1300.0,1441.0,1598.0,1616.0,1521.0,415
30,5954.0,5853.0,6075.0,6219.0,6332.0,6509.0,6533.0,6910.0,7037.0,7131.0,6912.0,6945.0,6996.0,6876.0,416
31,1621.0,1583.0,1574.0,1570.0,1585.0,1717.0,1801.0,1839.0,1863.0,1893.0,1873.0,1832.0,1831.0,1810.0,417
32,2237.0,2250.0,2261.0,2261.0,2303.0,2286.0,2264.0,2280.0,2281.0,2357.0,2424.0,2423.0,2409.0,2401.0,418
33,3282.0,3246.0,3252.0,3274.0,3273.0,3358.0,3345.0,3317.0,3296.0,3333.0,3260.0,3266.0,3247.0,3232.0,419
34,18.0,18.0,18.0,18.0,18.0,18.0,17.0,17.0,18.0,21.0,29.0,25.0,25.0,29.0,420
35,14.0,13.0,20.0,15.0,14.0,14.0,9.0,18.0,12.0,16.0,2.0,2.0,3.0,3.0,421
36,125.0,126.0,134.0,167.0,187.0,201.0,167.0,153.0,147.0,130.0,135.0,141.0,138.0,140.0,433
37,16.0,5.0,9.0,14.0,16.0,19.0,49.0,54.0,50.0,45.0,23.0,24.0,24.0,24.0,437
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440
39,17.0,17.0,17.0,10.0,6.0,4.0,5.0,5.0,7.0,7.0,9.0,8.0,8.0,53.0,441
40,13947.0,13833.0,13765.0,13797.0,13840.0,13837.0,13852.0,13840.0,13780.0,14139.0,14099.0,14307.0,14366.0,14338.0,442
41,11.0,11.0,14.0,12.0,39.0,237.0,413.0,552.0,607.0,778.0,2364.0,2450.0,2503.0,2572.0,443
42,21.0,21.0,20.0,28.0,28.0,30.0,42.0,45.0,73.0,146.0,96.0,72.0,75.0,61.0,444
43,4.0,4.0,10.0,10.0,29.0,40.0,25.0,23.0,11.0,11.0,13.0,12.0,16.0,16.0,445
44,1427.0,1435.0,1449.0,1453.0,1437.0,1452.0,1463.0,1567.0,1692.0,1689.0,1531.0,1572.0,1567.0,1581.0,446
45,1489.0,1469.0,1484.0,1494.0,1491.0,1512.0,1521.0,1557.0,1582.0,1677.0,1919.0,1926.0,1938.0,1942.0,447
46,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,13.0,15.0,18.0,18.0,22.0,21.0,448
47,1900.0,1946.0,1998.0,2052.0,2164.0,2266.0,2295.0,2470.0,2577.0,2669.0,2335.0,2424.0,2494.0,2491.0,449
48,,,,,,,,,,,385.0,406.0,412.0,451.0,461
49,12.0,15.0,13.0,13.0,13.0,14.0,16.0,16.0,17.0,18.0,14.0,14.0,13.0,14.0,464
50,4.0,3.0,3.0,2.0,13.0,14.0,15.0,13.0,13.0,7.0,16.0,18.0,19.0,11.0,465
51,25.0,25.0,25.0,29.0,30.0,32.0,33.0,36.0,39.0,38.0,0.0,0.0,0.0,0.0,466
52,0.0,0.0,9.0,11.0,19.0,17.0,13.0,13.0,19.0,19.0,2.0,2.0,2.0,2.0,468
53,26.0,29.0,28.0,33.0,25.0,32.0,41.0,40.0,38.0,35.0,40.0,43.0,43.0,42.0,469
54,10242.0,10360.0,10519.0,10614.0,10803.0,10941.0,10933.0,11138.0,11079.0,11134.0,10546.0,10508.0,10541.0,10458.0,470
55,2401.0,2528.0,2690.0,2882.0,3091.0,3419.0,3861.0,4393.0,4822.0,5141.0,5879.0,6132.0,6409.0,6491.0,471
56,523.0,503.0,525.0,585.0,598.0,739.0,693.0,758.0,836.0,912.0,734.0,737.0,748.0,729.0,472
57,14.0,15.0,13.0,15.0,15.0,15.0,19.0,18.0,19.0,19.0,18.0,19.0,23.0,23.0,473
58,3913.0,3906.0,3853.0,4044.0,4159.0,4123.0,4159.0,4185.0,4160.0,4190.0,4026.0,3970.0,3985.0,4032.0,474
59,3167.0,3138.0,3087.0,3052.0,3006.0,2982.0,2936.0,2899.0,2902.0,2905.0,2851.0,2863.0,2894.0,2848.0,475
60,5470.0,5454.0,5493.0,5486.0,5474.0,5456.0,5418.0,5359.0,5310.0,5276.0,5374.0,5427.0,5436.0,5531.0,476
61,2326.0,2277.0,2289.0,2300.0,2299.0,2290.0,2307.0,2341.0,2364.0,2415.0,2535.0,2566.0,2623.0,2576.0,477
62,563.0,557.0,578.0,548.0,566.0,620.0,644.0,691.0,784.0,916.0,990.0,1044.0,1118.0,1131.0,478
63,763.0,763.0,788.0,852.0,890.0,929.0,990.0,1039.0,1145.0,1177.0,811.0,810.0,804.0,828.0,490
64,2379.0,2339.0,2357.0,2381.0,2421.0,2427.0,2401.0,2451.0,2460.0,2500.0,2541.0,2526.0,2568.0,2562.0,492
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494
67,568.0,564.0,575.0,561.0,561.0,571.0,566.0,583.0,566.0,571.0,620.0,638.0,659.0,671.0,495
68,207.0,208.0,197.0,209.0,216.0,229.0,240.0,252.0,259.0,271.0,276.0,291.0,289.0,294.0,496
69,1447.0,1473.0,1455.0,1502.0,1523.0,1591.0,1631.0,1791.0,1895.0,1961.0,2177.0,2287.0,2357.0,2460.0,497
70,310.0,293.0,289.0,297.0,310.0,322.0,326.0,349.0,354.0,368.0,414.0,417.0,416.0,423.0,498
